mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
150.77821850776672,4.0386269092559814,115.48909211158752,1.0315592288970947,0.3845401188473625,"{0: 1, 1: 1}",0.028343478986616377,sigmoid,"{'C': 0.3845401188473625, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.028343478986616377, 'kernel': 'sigmoid'}",0.20246499940169918,0.2218566392479436,0.2121608193248214,0.009695819923122212,10
148.3192436695099,5.341764211654663,107.39247679710388,2.270087957382202,0.7896910002727693,"{0: 1, 1: 1}",0.025601864044243652,sigmoid,"{'C': 0.7896910002727693, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.025601864044243652, 'kernel': 'sigmoid'}",0.22547714158899246,0.23989541344373028,0.23268627751636137,0.007209135927368909,9
273.16956520080566,32.948378562927246,173.25077259540558,10.841881155967712,0.16599452033620266,"{0: 1, 1: 5}",0.05592488919658672,sigmoid,"{'C': 0.16599452033620266, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.05592488919658672, 'kernel': 'sigmoid'}",0.36724951429364416,0.3243775933609958,0.34581355382732,0.021435960466324178,4
496.7687301635742,10.481269836425781,268.14029276371,2.367803931236267,0.34370861113902185,"{0: 1, 1: 5}",0.012058449429580245,sigmoid,"{'C': 0.34370861113902185, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.012058449429580245, 'kernel': 'sigmoid'}",0.4510223490252021,0.44187944502739884,0.4464508970263005,0.004571451998901632,1
225.9106683731079,7.84980034828186,149.58697593212128,4.767023205757141,0.9799098521619943,"{0: 1, 1: 3}",0.031233911067827615,sigmoid,"{'C': 0.9799098521619943, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.031233911067827615, 'kernel': 'sigmoid'}",0.315631327977007,0.32128824476650564,0.3184597863717563,0.0028284583947493225,6
162.78171980381012,6.792262434959412,118.74276232719421,1.8136954307556152,0.19182496720710063,"{0: 1, 1: 1}",0.07174815096277165,sigmoid,"{'C': 0.19182496720710063, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.07174815096277165, 'kernel': 'sigmoid'}",0.2556869881710646,0.24349049964813513,0.24958874390959987,0.006098244261464741,8
165.71590733528137,8.358446598052979,113.21853649616241,5.13370954990387,0.6216531604882809,"{0: 1, 1: 1}",0.05319450186421158,sigmoid,"{'C': 0.6216531604882809, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.05319450186421158, 'kernel': 'sigmoid'}",0.28095183354408554,0.2622373518018547,0.27159459267297015,0.009357240871115419,7
271.656237244606,28.48250186443329,140.97996628284454,3.0034209489822388,0.3012291401980419,"{0: 1, 1: 5}",0.04998609717152555,sigmoid,"{'C': 0.3012291401980419, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04998609717152555, 'kernel': 'sigmoid'}",0.3701143016448286,0.32588795313072133,0.348001127387775,0.02211317425705364,3
329.760897397995,9.887277603149414,110.26080012321472,11.151557683944702,0.05666566321361543,"{0: 1, 1: 5}",0.0556069984217036,sigmoid,"{'C': 0.05666566321361543, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.0556069984217036, 'kernel': 'sigmoid'}",0.3810846854856635,0.3439605325977402,0.36252260904170186,0.018562076443961656,2
235.60850703716278,11.918761134147644,98.02058601379395,10.14525294303894,0.7951759613930136,"{0: 1, 1: 5}",0.04824619912671628,sigmoid,"{'C': 0.7951759613930136, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04824619912671628, 'kernel': 'sigmoid'}",0.31841909023117076,0.3231974921630094,0.3208082911970901,0.0023892009659193247,5
