,precision,recall,f1-score,support
0,0.7915194346289752,0.024935990203718134,0.04834880207209152,17966.0
1,0.2094765342960289,0.9752100840336134,0.3448736998514116,4760.0
accuracy,0.22397254246237788,0.22397254246237788,0.22397254246237788,0.22397254246237788
macro avg,0.500497984462502,0.5000730371186658,0.19661125096175155,22726.0
weighted avg,0.669609542629291,0.22397254246237788,0.11045645469153899,22726.0
