,precision,recall,f1-score,support
0,0.9222647005279446,0.5930463963788192,0.7218923668835795,25627.0
1,0.3476574716957528,0.812691914022518,0.4869885218610357,6839.0
accuracy,0.6393149756668515,0.6393149756668515,0.6393149756668515,0.6393149756668515
macro avg,0.6349610861118486,0.7028691552006685,0.6044404443723076,32466.0
weighted avg,0.8012230311512625,0.6393149756668515,0.672409603496985,32466.0
