vectorization,kernel,degree,C,gamma,random_state,class_weight,train_precision_0,train_recall_0,train_f1_0,train_support_0,train_precision_1,train_recall_1,train_f1_1,train_support_1,train_accuracy,train_recall,train_precision,train_f1,train_mcc,test_precision_0,test_recall_0,test_f1_0,test_support_0,test_precision_1,test_recall_1,test_f1_1,test_support_1,test_accuracy,test_recall,test_precision,test_f1,test_mcc
glove,sigmoid,X,0.01,0.01,40,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
glove,sigmoid,X,0.01,0.01,42,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
glove,sigmoid,X,0.01,0.01,44,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
glove,sigmoid,X,0.01,0.1,40,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
glove,sigmoid,X,0.01,0.1,42,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
glove,sigmoid,X,0.01,0.1,44,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
glove,sigmoid,X,0.01,1.0,40,"{0: 1, 1: 1}",0.9317843734504498,0.9995440729483283,0.9644755654947392,13160,0.14285714285714285,0.001037344398340249,0.0020597322348094747,964,0.9313933729821581,0.001037344398340249,0.14285714285714285,0.0020597322348094747,0.006587706153349232,0.93953411531472,1.0,0.968824531516184,5687,1.0,0.0027247956403269754,0.005434782608695652,367,0.9395441030723488,0.0027247956403269754,1.0,0.005434782608695652,0.05059682264083399
glove,sigmoid,X,0.01,1.0,42,"{0: 1, 1: 1}",0.9317843734504498,0.9995440729483283,0.9644755654947392,13160,0.14285714285714285,0.001037344398340249,0.0020597322348094747,964,0.9313933729821581,0.001037344398340249,0.14285714285714285,0.0020597322348094747,0.006587706153349232,0.93953411531472,1.0,0.968824531516184,5687,1.0,0.0027247956403269754,0.005434782608695652,367,0.9395441030723488,0.0027247956403269754,1.0,0.005434782608695652,0.05059682264083399
glove,sigmoid,X,0.01,1.0,44,"{0: 1, 1: 1}",0.9317843734504498,0.9995440729483283,0.9644755654947392,13160,0.14285714285714285,0.001037344398340249,0.0020597322348094747,964,0.9313933729821581,0.001037344398340249,0.14285714285714285,0.0020597322348094747,0.006587706153349232,0.93953411531472,1.0,0.968824531516184,5687,1.0,0.0027247956403269754,0.005434782608695652,367,0.9395441030723488,0.0027247956403269754,1.0,0.005434782608695652,0.05059682264083399
glove,sigmoid,X,0.01,0.01,40,"{0: 1, 1: 3}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
