,precision,recall,f1-score,support
0,0.0,0.0,0.0,34962.0
1,0.2845917740945365,1.0,0.44308515722068237,13908.0
accuracy,0.2845917740945365,0.2845917740945365,0.2845917740945365,0.2845917740945365
macro avg,0.14229588704726825,0.5,0.22154257861034118,48870.0
weighted avg,0.0809924778822757,0.2845917740945365,0.12609839096839065,48870.0
