,model,sample_size,test_acc,test_prec,test_rec,test_f1,test_mcc
0,roberta_sentiment_base,400,0.73,0.658703071672355,0.9601990049751243,0.7813765182186235,0.5169718737386164
1,roberta_sentiment_mixed_cleaned,400,0.8425,0.8670212765957447,0.8109452736318408,0.8380462724935732,0.6865454624531678
2,roberta_sentiment_mixed_uncleaned,400,0.8375,0.8655913978494624,0.8009950248756219,0.8320413436692506,0.6770191759115359
3,roberta_hate_base,400,0.87,0.8564593301435407,0.8905472636815921,0.8731707317073171,0.7405344184261021
4,roberta_hate_mixed_cleaned,400,0.885,0.9144385026737968,0.8507462686567164,0.881443298969072,0.7719671359782286
5,roberta_hate_mixed_uncleaned,400,0.825,0.906832298136646,0.7263681592039801,0.8066298342541437,0.6637244956995045
6,roberta_hate_mixed_uncleaned_lora,400,0.8725,0.8504672897196262,0.9054726368159204,0.8771084337349396,0.7464904558266457
