,precision,recall,f1-score,support
0,0.7866692131398014,0.9170655682956697,0.8468774094063224,17966.0
1,0.1638608305274972,0.06134453781512605,0.08926933659431366,4760.0
accuracy,0.7378333186658453,0.7378333186658453,0.7378333186658453,0.7378333186658453
macro avg,0.4752650218336493,0.48920505305539785,0.46807337300031804,22726.0
weighted avg,0.6562209203810859,0.7378333186658453,0.6881950884266004,22726.0
