,precision,recall,f1-score,support
0,0.9298040850354314,0.6207837025492597,0.7445011848736692,17966.0
1,0.36511042773273694,0.823109243697479,0.5058421018655993,4760.0
accuracy,0.6631611370236733,0.6631611370236733,0.6631611370236733,0.6631611370236733
macro avg,0.6474572563840841,0.7219464731233693,0.6251716433696343,22726.0
weighted avg,0.8115280219904246,0.6631611370236733,0.6945136272252308,22726.0
