mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
747.9308298826218,16.162535786628723,147.81357562541962,1.9106801748275757,0.3845401188473625,"{0: 1, 1: 1}",5,0.0831993941811405,poly,"{'C': 0.3845401188473625, 'class_weight': {0: 1, 1: 1}, 'degree': 5, 'gamma': 0.0831993941811405, 'kernel': 'poly'}",0.2360074626865672,0.2325507614213198,0.2342791120539435,0.001728350632623693,5
524.5730091333389,6.37992799282074,276.6084568500519,0.8466610908508301,0.6086584841970366,"{0: 1, 1: 5}",4,0.025599452033620268,poly,"{'C': 0.6086584841970366, 'class_weight': {0: 1, 1: 5}, 'degree': 4, 'gamma': 0.025599452033620268, 'kernel': 'poly'}",0.43867069486404836,0.4304205539002589,0.4345456243821536,0.004125070481894727,2
176.8944206237793,2.51432466506958,142.049254655838,4.450502157211304,0.06808361216819946,"{0: 1, 1: 1}",5,0.012058449429580245,poly,"{'C': 0.06808361216819946, 'class_weight': {0: 1, 1: 1}, 'degree': 5, 'gamma': 0.012058449429580245, 'kernel': 'poly'}",0.0,0.0,0.0,0.0,9
467.8753836154938,5.012221097946167,263.58504569530487,2.376561999320984,0.9799098521619943,"{0: 1, 1: 3}",4,0.010077876584101433,poly,"{'C': 0.9799098521619943, 'class_weight': {0: 1, 1: 3}, 'degree': 4, 'gamma': 0.010077876584101433, 'kernel': 'poly'}",0.031757892770409114,0.033828227776733694,0.0327930602735714,0.0010351675031622896,8
396.3437466621399,0.7358622550964355,142.0504721403122,0.8859144449234009,1.0022115592912175,"{0: 1, 1: 1}",4,0.062475643163223786,poly,"{'C': 1.0022115592912175, 'class_weight': {0: 1, 1: 1}, 'degree': 4, 'gamma': 0.062475643163223786, 'kernel': 'poly'}",0.16443010022082558,0.14672881063352322,0.15557945542717438,0.008850644793651177,7
499.6103802919388,30.22184693813324,137.73576164245605,7.8441174030303955,0.4419450186421158,"{0: 1, 1: 1}",5,0.07118528947223794,poly,"{'C': 0.4419450186421158, 'class_weight': {0: 1, 1: 1}, 'degree': 5, 'gamma': 0.07118528947223794, 'kernel': 'poly'}",0.18283643551309506,0.17253580454928394,0.1776861200311895,0.00515031548190556,6
520.1162624359131,4.576712608337402,252.3552541732788,0.8739731311798096,0.14949386065204184,"{0: 1, 1: 5}",4,0.01906064345328208,poly,"{'C': 0.14949386065204184, 'class_weight': {0: 1, 1: 5}, 'degree': 4, 'gamma': 0.01906064345328208, 'kernel': 'poly'}",0.3737417943107221,0.37204067687608017,0.3728912355934011,0.0008505587173209539,4
483.25589168071747,6.2004371881484985,225.7516587972641,3.162185788154602,0.6283860093330873,"{0: 1, 1: 5}",3,0.014645041271999773,poly,"{'C': 0.6283860093330873, 'class_weight': {0: 1, 1: 5}, 'degree': 3, 'gamma': 0.014645041271999773, 'kernel': 'poly'}",0.43332994820757587,0.42628508750062327,0.42980751785409954,0.003522430353476297,3
221.86816692352295,4.32671594619751,129.61229634284973,0.23465800285339355,0.6175448519014384,"{0: 1, 1: 1}",3,0.01650515929852795,poly,"{'C': 0.6175448519014384, 'class_weight': {0: 1, 1: 1}, 'degree': 3, 'gamma': 0.01650515929852795, 'kernel': 'poly'}",0.0,0.0,0.0,0.0,9
311.4751784801483,6.382813215255737,65.81949949264526,10.765502214431763,0.9588855372533333,"{0: 1, 1: 3}",4,0.04854165025399162,poly,"{'C': 0.9588855372533333, 'class_weight': {0: 1, 1: 3}, 'degree': 4, 'gamma': 0.04854165025399162, 'kernel': 'poly'}",0.49987023098883987,0.5109800905750662,0.5054251607819531,0.0055549297931131725,1
