mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
6135.267665863037,62.43075680732727,518.7985212802887,2.977567672729492,0.3845401188473625,"{0: 1, 1: 1}",5,0.0831993941811405,poly,"{'C': 0.3845401188473625, 'class_weight': {0: 1, 1: 1}, 'degree': 5, 'gamma': 0.0831993941811405, 'kernel': 'poly'}",0.43067421513124043,0.4258665287118468,0.4282703719215436,0.0024038432096968043,4
1484.7890216112137,117.68279445171356,795.5960190296173,13.1080482006073,0.6086584841970366,"{0: 1, 1: 5}",4,0.025599452033620268,poly,"{'C': 0.6086584841970366, 'class_weight': {0: 1, 1: 5}, 'degree': 4, 'gamma': 0.025599452033620268, 'kernel': 'poly'}",0.5268527702989938,0.5060400026404384,0.5164463864697161,0.010406383829277721,1
981.1637732982635,12.544273853302002,416.5809940099716,1.455881953239441,0.06808361216819946,"{0: 1, 1: 1}",5,0.012058449429580245,poly,"{'C': 0.06808361216819946, 'class_weight': {0: 1, 1: 1}, 'degree': 5, 'gamma': 0.012058449429580245, 'kernel': 'poly'}",0.0007735447689035004,0.0015470895378070007,0.0011603171533552505,0.0003867723844517502,10
1076.8503983020782,2.7419748306274414,744.9374448060989,21.60678541660309,0.9799098521619943,"{0: 1, 1: 3}",4,0.010077876584101433,poly,"{'C': 0.9799098521619943, 'class_weight': {0: 1, 1: 3}, 'degree': 4, 'gamma': 0.010077876584101433, 'kernel': 'poly'}",0.2046467218332272,0.1963882618510158,0.2005174918421215,0.0041292299911057095,8
7442.02260529995,387.11904418468475,389.2738982439041,169.4294959306717,1.0022115592912175,"{0: 1, 1: 1}",4,0.062475643163223786,poly,"{'C': 1.0022115592912175, 'class_weight': {0: 1, 1: 1}, 'degree': 4, 'gamma': 0.062475643163223786, 'kernel': 'poly'}",0.43110624315443596,0.4195013850415512,0.42530381409799356,0.005802429056442376,5
7000.427306056023,34.765334486961365,473.2885674238205,4.5716317892074585,0.4419450186421158,"{0: 1, 1: 1}",5,0.07118528947223794,poly,"{'C': 0.4419450186421158, 'class_weight': {0: 1, 1: 1}, 'degree': 5, 'gamma': 0.07118528947223794, 'kernel': 'poly'}",0.42135549872122763,0.41371964209629314,0.4175375704087604,0.0038179283124672447,6
1192.659793972969,5.134849429130554,1494.3305332660675,665.4986298084259,0.14949386065204184,"{0: 1, 1: 5}",4,0.01906064345328208,poly,"{'C': 0.14949386065204184, 'class_weight': {0: 1, 1: 5}, 'degree': 4, 'gamma': 0.01906064345328208, 'kernel': 'poly'}",0.4160644680944247,0.4031244693496349,0.4095944687220298,0.006469999372394897,7
2131.8143570423126,237.06797647476196,1178.6297091245651,390.9205046892166,0.6283860093330873,"{0: 1, 1: 5}",3,0.014645041271999773,poly,"{'C': 0.6283860093330873, 'class_weight': {0: 1, 1: 5}, 'degree': 3, 'gamma': 0.014645041271999773, 'kernel': 'poly'}",0.5053265121877821,0.4931854931854932,0.49925600268663767,0.006070509501144461,2
1970.9129849672318,1.5644148588180542,422.48945450782776,15.569767951965332,0.6175448519014384,"{0: 1, 1: 1}",3,0.01650515929852795,poly,"{'C': 0.6175448519014384, 'class_weight': {0: 1, 1: 1}, 'degree': 3, 'gamma': 0.01650515929852795, 'kernel': 'poly'}",0.1451104100946372,0.1433591004919185,0.14423475529327784,0.0008756548013593574,9
1851.6418647766113,137.81420063972473,6306.126232743263,9.635388016700745,0.9588855372533333,"{0: 1, 1: 3}",4,0.04854165025399162,poly,"{'C': 0.9588855372533333, 'class_weight': {0: 1, 1: 3}, 'degree': 4, 'gamma': 0.04854165025399162, 'kernel': 'poly'}",0.45926724137931035,0.4536438119879258,0.4564555266836181,0.0028117146956922745,3
