vectorization,kernel,degree,C,gamma,random_state,class_weight,train_precision_0,train_recall_0,train_f1_0,train_support_0,train_precision_1,train_recall_1,train_f1_1,train_support_1,train_accuracy,train_recall,train_precision,train_f1,test_precision_0,test_recall_0,test_f1_0,test_support_0,test_precision_1,test_recall_1,test_f1_1,test_support_1,test_accuracy,test_recall,test_precision,test_f1
tfidf,rbf,X,0.1,0.01,42,"{0: 1, 1: 1}",0.7932401812688822,0.9974180145422169,0.8836885213572959,33695,0.8297455968688845,0.046167247386759584,0.08746776689014957,9184,0.7936752256349262,0.046167247386759584,0.8297455968688845,0.08746776689014957,0.7943055402577376,0.9975102012587316,0.884385443173805,14459,0.8363636363636363,0.0469507527430467,0.08891036482242089,3919,0.7948090107737512,0.0469507527430467,0.8363636363636363,0.08891036482242089
tfidf,rbf,X,0.1,0.1,42,"{0: 1, 1: 1}",0.7965864974907679,0.9986941682742246,0.8862639750325919,33695,0.9307086614173228,0.06435104529616725,0.12037885731744577,9184,0.7985727279087665,0.06435104529616725,0.9307086614173228,0.12037885731744577,0.795868772782503,0.9966111072688291,0.8849992323046215,14459,0.8198529411764706,0.05690227098749681,0.10641851586733476,3919,0.7962237457830014,0.05690227098749681,0.8198529411764706,0.10641851586733476
tfidf,rbf,X,0.1,0.01,42,"{0: 1, 1: 3}",0.8874906513185705,0.8100014838996884,0.846977408142999,33695,0.47204354280059374,0.6232578397212544,0.5372125762552793,9184,0.7700039646446979,0.6232578397212544,0.47204354280059374,0.5372125762552793,0.885397692774742,0.8068331143232589,0.8442916591279176,14459,0.4630911188004614,0.6146976269456494,0.5282315535577239,3919,0.7658613559690934,0.6146976269456494,0.4630911188004614,0.5282315535577239
tfidf,rbf,X,0.1,0.1,42,"{0: 1, 1: 3}",0.8860970544358967,0.8990354652025523,0.8925193718511535,33695,0.6086056143580304,0.5760017421602788,0.5918550011188185,9184,0.829846778143147,0.5760017421602788,0.6086056143580304,0.5918550011188185,0.8590326300793705,0.8757867072411647,0.8673287671232877,14459,0.506186417376959,0.46976269456494,0.4872948650079407,3919,0.7892044836217216,0.46976269456494,0.506186417376959,0.4872948650079407
tfidf,rbf,X,0.1,0.01,42,"{0: 1, 1: 5}",0.9283017151176015,0.6055794628283128,0.7329908757813061,33695,0.3640539764570772,0.828397212543554,0.5058174323515723,9184,0.6533034818909023,0.828397212543554,0.3640539764570772,0.5058174323515723,0.9243096913914456,0.5903589459851996,0.7205199628597957,14459,0.35218199715629445,0.8216381730033172,0.49303322615219725,3919,0.6396778757209707,0.8216381730033172,0.35218199715629445,0.49303322615219725
tfidf,rbf,X,0.1,0.1,42,"{0: 1, 1: 5}",0.967896381413164,0.5699658703071673,0.7174477464183648,33695,0.37101185050136737,0.930640243902439,0.5305235715837497,9184,0.6472165862077007,0.930640243902439,0.37101185050136737,0.5305235715837497,0.9302180685358256,0.5162874334324642,0.664027753068849,14459,0.3244470201873853,0.8571064046950753,0.4707118834080717,3919,0.5889650669278486,0.8571064046950753,0.3244470201873853,0.4707118834080717
tfidf,rbf,X,1.0,0.01,42,"{0: 1, 1: 1}",0.8129760774865542,0.9914230598011574,0.8933757655176102,33695,0.8383668903803132,0.16321864111498258,0.2732409770324462,9184,0.8140348422304625,0.16321864111498258,0.8383668903803132,0.2732409770324462,0.8102255980047613,0.9885884224358531,0.890564156879848,14459,0.7758152173913043,0.1457004337841286,0.24532760472610096,3919,0.8088475350963108,0.1457004337841286,0.7758152173913043,0.24532760472610096
tfidf,rbf,X,1.0,0.1,42,"{0: 1, 1: 1}",0.9138443904702126,0.9937972993025671,0.9521453552844835,33695,0.9664849262347659,0.65625,0.7817120622568093,9184,0.921500034982159,0.65625,0.9664849262347659,0.7817120622568093,0.8279316440777843,0.971713119856145,0.894078717108403,14459,0.7095170454545454,0.25491196733860677,0.37507039609536325,3919,0.8188595059310044,0.25491196733860677,0.7095170454545454,0.37507039609536325
tfidf,rbf,X,1.0,0.01,42,"{0: 1, 1: 3}",0.9075359202424006,0.8266805163970915,0.8652233335404113,33695,0.5207615296241589,0.6909843205574913,0.5939167056621433,9184,0.7976165488933977,0.6909843205574913,0.5207615296241589,0.5939167056621433,0.8928218010200198,0.8111902621204786,0.8500507319901435,14459,0.47910704064109905,0.6407246746619035,0.5482532751091703,3919,0.774839481989335,0.6407246746619035,0.47910704064109905,0.5482532751091703
tfidf,rbf,X,1.0,0.1,42,"{0: 1, 1: 3}",0.9938164427792501,0.9682742246624129,0.9808790812338405,33695,0.8936318407960199,0.9778963414634146,0.9338671103254652,9184,0.9703351290841671,0.9778963414634146,0.8936318407960199,0.9338671103254652,0.858843085106383,0.8933536205823362,0.8757585002881454,14459,0.5380467345715998,0.45828017351365147,0.4949703734325479,3919,0.8005767765806943,0.45828017351365147,0.5380467345715998,0.4949703734325479
