mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
219.7375931739807,0.6384871006011963,110.91404867172241,1.34458327293396,0.3845401188473625,"{0: 1, 1: 1}",0.028343478986616377,linear,"{'C': 0.3845401188473625, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.028343478986616377, 'kernel': 'linear'}",0.0,0.0,0.0,0.0,7
298.9245719909668,0.4315299987792969,122.06413447856903,1.1860450506210327,0.7896910002727693,"{0: 1, 1: 1}",0.025601864044243652,linear,"{'C': 0.7896910002727693, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.025601864044243652, 'kernel': 'linear'}",0.0,0.0,0.0,0.0,7
450.32509338855743,0.7448016405105591,228.41311514377594,4.337585091590881,0.16599452033620266,"{0: 1, 1: 5}",0.05592488919658672,linear,"{'C': 0.16599452033620266, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.05592488919658672, 'kernel': 'linear'}",0.45795570493967946,0.45375176970268993,0.4558537373211847,0.0021019676184947655,2
453.51758766174316,3.4260716438293457,228.43774914741516,10.48496699333191,0.34370861113902185,"{0: 1, 1: 5}",0.012058449429580245,linear,"{'C': 0.34370861113902185, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.012058449429580245, 'kernel': 'linear'}",0.4572972972972974,0.4543684738363518,0.4558328855668246,0.0014644117304727922,3
575.7368762493134,7.345204830169678,193.3356637954712,2.2132701873779297,0.9799098521619943,"{0: 1, 1: 3}",0.031233911067827615,linear,"{'C': 0.9799098521619943, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.031233911067827615, 'kernel': 'linear'}",0.44690461429457096,0.45401837481045404,0.4504614945525125,0.0035568802579415415,6
170.8632196187973,4.401666760444641,125.33677673339844,5.126011371612549,0.19182496720710063,"{0: 1, 1: 1}",0.07174815096277165,linear,"{'C': 0.19182496720710063, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.07174815096277165, 'kernel': 'linear'}",0.0,0.0,0.0,0.0,7
250.77334880828857,6.859535455703735,130.4904534816742,0.5364353656768799,0.6216531604882809,"{0: 1, 1: 1}",0.05319450186421158,linear,"{'C': 0.6216531604882809, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.05319450186421158, 'kernel': 'linear'}",0.0,0.0,0.0,0.0,7
460.7366735935211,1.1195001602172852,158.97614407539368,1.5157392024993896,0.3012291401980419,"{0: 1, 1: 5}",0.04998609717152555,linear,"{'C': 0.3012291401980419, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04998609717152555, 'kernel': 'linear'}",0.45752026418492947,0.45442208979880816,0.45597117699186884,0.0015490871930606553,1
427.86117589473724,2.01694118976593,160.84435045719147,2.324369788169861,0.05666566321361543,"{0: 1, 1: 5}",0.0556069984217036,linear,"{'C': 0.05666566321361543, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.0556069984217036, 'kernel': 'linear'}",0.4574474456489189,0.45332386195465574,0.4553856538017873,0.0020617918471315944,5
335.15190756320953,7.238072752952576,58.109267473220825,1.9347755908966064,0.7951759613930136,"{0: 1, 1: 5}",0.04824619912671628,linear,"{'C': 0.7951759613930136, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04824619912671628, 'kernel': 'linear'}",0.45679605816608576,0.45426127985844883,0.4555286690122673,0.0012673891538184656,4
