,model,dataset_name,sample_size,threshold,accuracy,precision,recall,f1_score,mcc
0,BalancedRandomForest,df_mixed_train_uncleaned,1000,0.35,0.759,0.41210374639769454,0.7944444444444444,0.5426944971537002,0.44039980549877356
1,ComplementNB,df_mixed_train_uncleaned,1000,0.35,0.496,0.2582089552238806,0.9611111111111111,0.40705882352941175,0.2900639367680664
2,LinearSVC,df_mixed_train_uncleaned,1000,None,0.798,0.4601449275362319,0.7055555555555556,0.5570175438596491,0.4502200610015271
3,RNN-LSTM,df_mixed_train_uncleaned,1000,0.35,0.715,0.37819025522041766,0.9055555555555556,0.5335515548281505,0.44897444272516795
4,RNN-GRU,df_mixed_train_uncleaned,1000,0.35,0.888,0.6349206349206349,0.8888888888888888,0.7407407407407407,0.6872930136581056
5,bert_tuned_uncased,df_mixed_train_uncleaned,1000,0.35,0.821,0.5022222222222222,0.6277777777777778,0.5580246913580247,0.45191079694842273
6,roberta_hate_mixed_cleaned,df_mixed_train_uncleaned,1000,0.35,0.813,0.4851063829787234,0.6333333333333333,0.5493975903614458,0.4401607653658311
