,model,dataset_name,sample_size,threshold,accuracy,precision,recall,f1_score,mcc
0,BalancedRandomForest,df_mixed_train_uncleaned,81905,0.5,0.8237470239912094,0.5080945145910829,0.6577144794845711,0.5733033814140459,0.4706786467672554
1,ComplementNB,df_mixed_train_uncleaned,81905,0.5,0.6661375984372139,0.33225050591117267,0.8462529671074941,0.4771610485459169,0.36459947047658575
2,LinearSVC,df_mixed_train_uncleaned,81905,None,0.7910017703436909,0.45067963586482107,0.7353001017293997,0.5588371733415803,0.4542800725437005
3,RNN-LSTM,df_mixed_train_uncleaned,81905,0.5,0.7547036200476162,0.4091187270501836,0.8160732451678535,0.5450098512127183,0.4463301756511153
4,RNN-GRU,df_mixed_train_uncleaned,81905,0.5,0.9087235211525548,0.6935612717686531,0.8832146490335707,0.7769822802935386,0.7289627785928547
5,bert_tuned_uncased,df_mixed_train_uncleaned,81905,0.5,0.8307307246199865,0.5237274441152707,0.65940996948118,0.5837886520564395,0.4843094488720364
6,roberta_hate_mixed_cleaned,df_mixed_train_uncleaned,81905,0.5,0.8261766680910811,0.5131701752566629,0.6712105798575788,0.5816461461608533,0.4812086153799168
