,model,dataset_name,sample_size,threshold,accuracy,precision,recall,f1_score,mcc
0,BalancedRandomForest,df_mixed_train_cleaned_rnn,1000,0.5,0.821,0.5354330708661418,0.6903553299492385,0.6031042128603105,0.49651154756486393
1,ComplementNB,df_mixed_train_cleaned_rnn,1000,0.5,0.647,0.3458498023715415,0.8883248730964467,0.49786628733997157,0.37876440664561334
2,LinearSVC,df_mixed_train_cleaned_rnn,1000,None,0.803,0.5,0.7258883248730964,0.5921325051759835,0.4821538661029091
3,RNN-LSTM,df_mixed_train_cleaned_rnn,1000,0.5,0.741,0.41968911917098445,0.8223350253807107,0.5557461406518011,0.44393315206451084
4,RNN-GRU,df_mixed_train_cleaned_rnn,1000,0.5,0.934,0.752895752895753,0.9898477157360406,0.8552631578947368,0.8263104560777369
5,bert_tuned_uncased,df_mixed_train_cleaned_rnn,1000,0.5,0.836,0.5714285714285714,0.6700507614213198,0.616822429906542,0.5159657990716171
6,roberta_hate_mixed_cleaned,df_mixed_train_cleaned_rnn,1000,0.5,0.849,0.615,0.6243654822335025,0.6196473551637279,0.5254790431035072
