,model,dataset_name,sample_size,threshold,accuracy,precision,recall,f1_score,mcc
0,BalancedRandomForest,df_mixed_train_cleaned,1000,0.35,0.759,0.4225,0.9441340782122905,0.5837651122625216,0.5186271425226523
1,ComplementNB,df_mixed_train_cleaned,1000,0.35,0.6,0.30018083182640143,0.9273743016759777,0.453551912568306,0.35159657784430115
2,LinearSVC,df_mixed_train_cleaned,1000,None,0.787,0.44654088050314467,0.7932960893854749,0.5714285714285714,0.4765554390823796
3,RNN-LSTM,df_mixed_train_cleaned,1000,0.35,0.699,0.36261261261261263,0.8994413407821229,0.5168539325842697,0.4280145230647629
4,RNN-GRU,df_mixed_train_cleaned,1000,0.35,0.802,0.47112462006079026,0.8659217877094972,0.610236220472441,0.5335888616880828
5,bert_tuned_uncased,df_mixed_train_cleaned,1000,0.35,0.902,0.6956521739130435,0.8044692737430168,0.7461139896373057,0.6885710288712199
6,roberta_hate_mixed_cleaned,df_mixed_train_cleaned,1000,0.35,0.92,0.803680981595092,0.7318435754189944,0.7660818713450293,0.7191032692955067
