,precision,recall,f1-score,support
0,0.9063684327859107,0.6977289628739775,0.7884801861788091,34962.0
1,0.5186737110584806,0.818809318377912,0.6350658041490074,13908.0
accuracy,0.7321874360548394,0.7321874360548394,0.7321874360548394,0.7321874360548394
macro avg,0.7125210719221957,0.7582691406259447,0.7117729951639082,48870.0
weighted avg,0.7960337041224137,0.7321874360548394,0.7448197150253308,48870.0
