mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
618.734339594841,4.684867739677429,245.13177013397217,142.25748920440674,0.3845401188473625,"{0: 1, 1: 1}",0.028343478986616377,sigmoid,"{'C': 0.3845401188473625, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.028343478986616377, 'kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,10
567.8580176830292,58.40507102012634,200.89201080799103,69.46007740497589,0.7896910002727693,"{0: 1, 1: 1}",0.025601864044243652,sigmoid,"{'C': 0.7896910002727693, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.025601864044243652, 'kernel': 'sigmoid'}",0.0023237800154918666,0.0023237800154918666,0.0023237800154918666,0.0,8
865.6230989694595,61.78079831600189,529.29931807518,115.941166639328,0.16599452033620266,"{0: 1, 1: 5}",0.05592488919658672,sigmoid,"{'C': 0.16599452033620266, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.05592488919658672, 'kernel': 'sigmoid'}",0.8427575522850503,0.8718048024786987,0.8572811773818745,0.0145236250968242,3
862.8637094497681,171.18796515464783,584.5730137825012,282.3304946422577,0.34370861113902185,"{0: 1, 1: 5}",0.012058449429580245,sigmoid,"{'C': 0.34370861113902185, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.012058449429580245, 'kernel': 'sigmoid'}",0.9996127033307514,0.999419054996127,0.9995158791634392,9.682416731215948e-05,2
460.7055438756943,151.00859820842743,323.85638999938965,82.56682252883911,0.9799098521619943,"{0: 1, 1: 3}",0.031233911067827615,sigmoid,"{'C': 0.9799098521619943, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.031233911067827615, 'kernel': 'sigmoid'}",0.3032532920216886,0.29802478698683194,0.3006390395042603,0.0026142525174283338,6
433.42099463939667,162.19805896282196,197.61264073848724,87.24196922779083,0.19182496720710063,"{0: 1, 1: 1}",0.07174815096277165,sigmoid,"{'C': 0.19182496720710063, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.07174815096277165, 'kernel': 'sigmoid'}",0.00019364833462432224,0.0,9.682416731216112e-05,9.682416731216112e-05,9
515.6807162761688,46.93247747421265,370.32849740982056,28.095634698867798,0.6216531604882809,"{0: 1, 1: 1}",0.05319450186421158,sigmoid,"{'C': 0.6216531604882809, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.05319450186421158, 'kernel': 'sigmoid'}",0.02420604182804028,0.020333075135553835,0.022269558481797055,0.0019364833462432226,7
918.0513112545013,179.83736848831177,425.1839212179184,114.43110406398773,0.3012291401980419,"{0: 1, 1: 5}",0.04998609717152555,sigmoid,"{'C': 0.3012291401980419, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04998609717152555, 'kernel': 'sigmoid'}",0.6880325329202169,0.70429899302866,0.6961657629744384,0.008133230054221507,4
726.2414656877518,14.711476445198059,346.20828437805176,43.45335674285889,0.05666566321361543,"{0: 1, 1: 5}",0.0556069984217036,sigmoid,"{'C': 0.05666566321361543, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.0556069984217036, 'kernel': 'sigmoid'}",1.0,1.0,1.0,0.0,1
735.5764610767365,21.250906229019165,225.83079314231873,16.107939958572388,0.7951759613930136,"{0: 1, 1: 5}",0.04824619912671628,sigmoid,"{'C': 0.7951759613930136, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04824619912671628, 'kernel': 'sigmoid'}",0.6853214562354764,0.6853214562354764,0.6853214562354764,0.0,5
