vectorization,kernel,degree,C,gamma,random_state,class_weight,train_precision_0,train_recall_0,train_f1_0,train_support_0,train_precision_1,train_recall_1,train_f1_1,train_support_1,train_accuracy,train_recall,train_precision,train_f1,train_mcc,test_precision_0,test_recall_0,test_f1_0,test_support_0,test_precision_1,test_recall_1,test_f1_1,test_support_1,test_accuracy,test_recall,test_precision,test_f1,test_mcc
w2v,poly,3,0.01,0.01,40,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
w2v,poly,3,0.01,0.01,42,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
w2v,poly,3,0.01,0.01,44,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
w2v,poly,3,0.01,0.1,40,"{0: 1, 1: 1}",0.9349587716804094,0.999468085106383,0.966137799324225,13160,0.875,0.0508298755186722,0.09607843137254903,964,0.9347210421976777,0.0508298755186722,0.875,0.09607843137254903,0.2018397245487104,0.9416832339297548,0.9994724810972393,0.9697176490659387,5687,0.8333333333333334,0.04087193460490463,0.07792207792207792,367,0.9413610835811034,0.04087193460490463,0.8333333333333334,0.07792207792207792,0.17682644193024594
w2v,poly,3,0.01,0.1,42,"{0: 1, 1: 1}",0.9349587716804094,0.999468085106383,0.966137799324225,13160,0.875,0.0508298755186722,0.09607843137254903,964,0.9347210421976777,0.0508298755186722,0.875,0.09607843137254903,0.2018397245487104,0.9416832339297548,0.9994724810972393,0.9697176490659387,5687,0.8333333333333334,0.04087193460490463,0.07792207792207792,367,0.9413610835811034,0.04087193460490463,0.8333333333333334,0.07792207792207792,0.17682644193024594
w2v,poly,3,0.01,0.1,44,"{0: 1, 1: 1}",0.9349587716804094,0.999468085106383,0.966137799324225,13160,0.875,0.0508298755186722,0.09607843137254903,964,0.9347210421976777,0.0508298755186722,0.875,0.09607843137254903,0.2018397245487104,0.9416832339297548,0.9994724810972393,0.9697176490659387,5687,0.8333333333333334,0.04087193460490463,0.07792207792207792,367,0.9413610835811034,0.04087193460490463,0.8333333333333334,0.07792207792207792,0.17682644193024594
w2v,poly,3,0.01,1.0,40,"{0: 1, 1: 1}",0.9828759440664024,0.9987841945288753,0.9907662156559757,13160,0.9786950732356857,0.7624481327800829,0.8571428571428571,964,0.9826536391956953,0.7624481327800829,0.9786950732356857,0.8571428571428571,0.8555576797467902,0.9664028144239226,0.9660629505890628,0.9662328526204713,5687,0.47696476964769646,0.47956403269754766,0.4782608695652174,367,0.9365708622398414,0.47956403269754766,0.47696476964769646,0.4782608695652174,0.44449584809861636
w2v,poly,3,0.01,1.0,42,"{0: 1, 1: 1}",0.9828759440664024,0.9987841945288753,0.9907662156559757,13160,0.9786950732356857,0.7624481327800829,0.8571428571428571,964,0.9826536391956953,0.7624481327800829,0.9786950732356857,0.8571428571428571,0.8555576797467902,0.9664028144239226,0.9660629505890628,0.9662328526204713,5687,0.47696476964769646,0.47956403269754766,0.4782608695652174,367,0.9365708622398414,0.47956403269754766,0.47696476964769646,0.4782608695652174,0.44449584809861636
w2v,poly,3,0.01,1.0,44,"{0: 1, 1: 1}",0.9828759440664024,0.9987841945288753,0.9907662156559757,13160,0.9786950732356857,0.7624481327800829,0.8571428571428571,964,0.9826536391956953,0.7624481327800829,0.9786950732356857,0.8571428571428571,0.8555576797467902,0.9664028144239226,0.9660629505890628,0.9662328526204713,5687,0.47696476964769646,0.47956403269754766,0.4782608695652174,367,0.9365708622398414,0.47956403269754766,0.47696476964769646,0.4782608695652174,0.44449584809861636
w2v,poly,4,0.01,0.01,40,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
