vectorization,kernel,degree,C,gamma,random_state,class_weight,train_precision_0,train_recall_0,train_f1_0,train_support_0,train_precision_1,train_recall_1,train_f1_1,train_support_1,train_accuracy,train_recall,train_precision,train_f1,train_mcc,test_precision_0,test_recall_0,test_f1_0,test_support_0,test_precision_1,test_recall_1,test_f1_1,test_support_1,test_accuracy,test_recall,test_precision,test_f1,test_mcc
w2v,sigmoid,X,0.01,0.01,40,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
w2v,sigmoid,X,0.01,0.01,42,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
w2v,sigmoid,X,0.01,0.01,44,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
w2v,sigmoid,X,0.01,0.1,40,"{0: 1, 1: 1}",0.931758530183727,0.9981003039513677,0.9637891183916059,13160,0.07407407407407407,0.002074688796680498,0.00403632694248234,964,0.9301189464740867,0.002074688796680498,0.07407407407407407,0.00403632694248234,0.0010102788958256572,0.9395094464700033,0.9968348865834359,0.9673236072007508,5687,0.1,0.005449591280653951,0.0103359173126615,367,0.9367360422860919,0.005449591280653951,0.1,0.0103359173126615,0.009500445036058349
w2v,sigmoid,X,0.01,0.1,42,"{0: 1, 1: 1}",0.931758530183727,0.9981003039513677,0.9637891183916059,13160,0.07407407407407407,0.002074688796680498,0.00403632694248234,964,0.9301189464740867,0.002074688796680498,0.07407407407407407,0.00403632694248234,0.0010102788958256572,0.9395094464700033,0.9968348865834359,0.9673236072007508,5687,0.1,0.005449591280653951,0.0103359173126615,367,0.9367360422860919,0.005449591280653951,0.1,0.0103359173126615,0.009500445036058349
w2v,sigmoid,X,0.01,0.1,44,"{0: 1, 1: 1}",0.931758530183727,0.9981003039513677,0.9637891183916059,13160,0.07407407407407407,0.002074688796680498,0.00403632694248234,964,0.9301189464740867,0.002074688796680498,0.07407407407407407,0.00403632694248234,0.0010102788958256572,0.9395094464700033,0.9968348865834359,0.9673236072007508,5687,0.1,0.005449591280653951,0.0103359173126615,367,0.9367360422860919,0.005449591280653951,0.1,0.0103359173126615,0.009500445036058349
w2v,sigmoid,X,0.01,1.0,40,"{0: 1, 1: 1}",0.9398479592589859,0.967629179331307,0.9535362611853682,13160,0.2591304347826087,0.1545643153526971,0.19363222871994804,964,0.9121353724157463,0.1545643153526971,0.2591304347826087,0.19363222871994804,0.15592903942035063,0.9452830188679245,0.9690522243713733,0.9570200573065902,5687,0.21428571428571427,0.1307901907356948,0.16243654822335024,367,0.9182358771060456,0.1307901907356948,0.21428571428571427,0.16243654822335024,0.12622094791925226
w2v,sigmoid,X,0.01,1.0,42,"{0: 1, 1: 1}",0.9398479592589859,0.967629179331307,0.9535362611853682,13160,0.2591304347826087,0.1545643153526971,0.19363222871994804,964,0.9121353724157463,0.1545643153526971,0.2591304347826087,0.19363222871994804,0.15592903942035063,0.9452830188679245,0.9690522243713733,0.9570200573065902,5687,0.21428571428571427,0.1307901907356948,0.16243654822335024,367,0.9182358771060456,0.1307901907356948,0.21428571428571427,0.16243654822335024,0.12622094791925226
w2v,sigmoid,X,0.01,1.0,44,"{0: 1, 1: 1}",0.9398479592589859,0.967629179331307,0.9535362611853682,13160,0.2591304347826087,0.1545643153526971,0.19363222871994804,964,0.9121353724157463,0.1545643153526971,0.2591304347826087,0.19363222871994804,0.15592903942035063,0.9452830188679245,0.9690522243713733,0.9570200573065902,5687,0.21428571428571427,0.1307901907356948,0.16243654822335024,367,0.9182358771060456,0.1307901907356948,0.21428571428571427,0.16243654822335024,0.12622094791925226
w2v,sigmoid,X,0.01,0.01,40,"{0: 1, 1: 3}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0,0.0
