,precision,recall,f1-score,support
0,0.9002045750418449,0.6922372861964419,0.7826410335181981,34962.0
1,0.5105753923129407,0.8070894449237849,0.6254701473824981,13908.0
accuracy,0.7249232658072438,0.7249232658072438,0.7249232658072438,0.7249232658072438
macro avg,0.7053899836773928,0.7496633655601134,0.704055590450348,48870.0
weighted avg,0.7893193146900217,0.7249232658072438,0.7379114921968288,48870.0
