,precision,recall,f1-score,support
0,0.7816662136450122,0.6402649448959145,0.7039348877057707,17966.0
1,0.19313358302122346,0.325,0.2422866092404072,4760.0
accuracy,0.574232157000792,0.574232157000792,0.574232157000792,0.574232157000792
macro avg,0.4873998983331178,0.48263247244795726,0.473110748473089,22726.0
weighted avg,0.6583970364132409,0.574232157000792,0.6072418574542909,22726.0
