,precision,recall,f1-score,support
0,0.92261265408419,0.7038670152573457,0.7985302580902208,25627.0
1,0.4123886953155246,0.7787688258517327,0.5392325604940771,6839.0
accuracy,0.7196451672518943,0.7196451672518943,0.7196451672518943,0.7196451672518943
macro avg,0.6675006746998573,0.7413179205545393,0.6688814092921489,32466.0
weighted avg,0.8151333941193375,0.7196451672518943,0.7439089017833144,32466.0
