mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
1328.8104948997498,58.19634389877319,299.40244245529175,3.2299282550811768,0.3845401188473625,"{0: 1, 1: 1}",0.028343478986616377,linear,"{'C': 0.3845401188473625, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.028343478986616377, 'kernel': 'linear'}",0.11459265890778873,0.08119030124908155,0.09789148007843515,0.01670117882935359,9
2072.8441084623337,71.21686255931854,322.14769530296326,16.548112869262695,0.7896910002727693,"{0: 1, 1: 1}",0.025601864044243652,linear,"{'C': 0.7896910002727693, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.025601864044243652, 'kernel': 'linear'}",0.11953612845673506,0.08992871504295376,0.1047324217498444,0.01480370670689065,7
1446.494266629219,12.199040532112122,512.9491217136383,0.8380322456359863,0.16599452033620266,"{0: 1, 1: 5}",0.05592488919658672,linear,"{'C': 0.16599452033620266, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.05592488919658672, 'kernel': 'linear'}",0.48693498452012385,0.4914110429447852,0.48917301373245453,0.0022380292123306833,5
2111.5248458385468,18.474090814590454,610.0324847698212,3.201951503753662,0.34370861113902185,"{0: 1, 1: 5}",0.012058449429580245,linear,"{'C': 0.34370861113902185, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.012058449429580245, 'kernel': 'linear'}",0.4867037724180581,0.4922225637872733,0.4894631681026657,0.0027593956846075907,4
5248.293362855911,15.026997327804565,270.32867443561554,6.106427788734436,0.9799098521619943,"{0: 1, 1: 3}",0.031233911067827615,linear,"{'C': 0.9799098521619943, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.031233911067827615, 'kernel': 'linear'}",0.4949708393204294,0.5075647491238567,0.5012677942221431,0.0062969549017136695,1
1017.6553211212158,31.67476797103882,321.95307743549347,1.7797223329544067,0.19182496720710063,"{0: 1, 1: 1}",0.07174815096277165,linear,"{'C': 0.19182496720710063, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.07174815096277165, 'kernel': 'linear'}",0.11131059245960503,0.07594470046082949,0.09362764646021726,0.017682945999387772,10
2533.7986285686493,732.5522012710571,987.2736949920654,655.570543050766,0.6216531604882809,"{0: 1, 1: 1}",0.05319450186421158,linear,"{'C': 0.6216531604882809, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.05319450186421158, 'kernel': 'linear'}",0.1192005710206995,0.0864627221102766,0.10283164656548804,0.016368924455211452,8
3444.4005942344666,8.513105869293213,525.0145990848541,0.738429069519043,0.3012291401980419,"{0: 1, 1: 5}",0.04998609717152555,linear,"{'C': 0.3012291401980419, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04998609717152555, 'kernel': 'linear'}",0.48713042404789825,0.4921923029632362,0.4896613635055672,0.002530939457668968,3
2409.3204394578934,22.59976875782013,606.1871474981308,1.3360790014266968,0.05666566321361543,"{0: 1, 1: 5}",0.0556069984217036,linear,"{'C': 0.05666566321361543, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.0556069984217036, 'kernel': 'linear'}",0.4852224347504166,0.48881554822148887,0.48701899148595273,0.0017965567355361367,6
2022.035570025444,119.4169842004776,128.86688351631165,11.521190166473389,0.7951759613930136,"{0: 1, 1: 5}",0.04824619912671628,linear,"{'C': 0.7951759613930136, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04824619912671628, 'kernel': 'linear'}",0.48701258446469536,0.4925859841260075,0.48979928429535147,0.0027866998306560753,2
