,precision,recall,f1-score,support
0,0.7059746885117237,0.293942240921531,0.41506604372152045,24481.0
1,0.2804512530180668,0.6921101294431888,0.39915866808863615,9734.0
accuracy,0.40721905596960395,0.40721905596960395,0.40721905596960395,0.40721905596960395
macro avg,0.49321297076489523,0.4930261851823599,0.4071123559050783,34215.0
weighted avg,0.5849153542695711,0.40721905596960395,0.4105404732287396,34215.0
