,precision,recall,f1-score,support
0,0.9256445047489824,0.3797172436825114,0.538522260814651,17966.0
1,0.2742901797343058,0.8848739495798319,0.41877112746072775,4760.0
accuracy,0.4855231892986007,0.4855231892986007,0.4855231892986007,0.4855231892986007
macro avg,0.599967342241644,0.6322955966311716,0.4786466941376894,22726.0
weighted avg,0.789217214989682,0.4855231892986007,0.5134401788484153,22726.0
