mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
343.46314215660095,2.775914192199707,288.06220173835754,3.952144145965576,0.3845401188473625,"{0: 1, 1: 1}",0.028343478986616377,sigmoid,"{'C': 0.3845401188473625, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.028343478986616377, 'kernel': 'sigmoid'}",0.23586367157242447,0.2550348567002324,0.24544926413632845,0.009585592563903969,9
334.16234290599823,26.90506637096405,272.89074182510376,9.595439434051514,0.7896910002727693,"{0: 1, 1: 1}",0.025601864044243652,sigmoid,"{'C': 0.7896910002727693, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.025601864044243652, 'kernel': 'sigmoid'}",0.24767621998450814,0.26123160340821067,0.2544539116963594,0.006777691711851261,7
737.5613659620285,148.44482147693634,427.0017327070236,18.16871440410614,0.16599452033620266,"{0: 1, 1: 5}",0.05592488919658672,sigmoid,"{'C': 0.16599452033620266, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.05592488919658672, 'kernel': 'sigmoid'}",0.5898528272656856,0.6128969790859798,0.6013749031758326,0.011522075910147145,5
986.9227609634399,70.87490272521973,625.7923995256424,23.63095724582672,0.34370861113902185,"{0: 1, 1: 5}",0.012058449429580245,sigmoid,"{'C': 0.34370861113902185, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.012058449429580245, 'kernel': 'sigmoid'}",0.72714949651433,0.737412858249419,0.7322811773818745,0.005131680867544508,1
551.1933242082596,0.16981470584869385,373.1992176771164,5.190040946006775,0.9799098521619943,"{0: 1, 1: 3}",0.031233911067827615,sigmoid,"{'C': 0.9799098521619943, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.031233911067827615, 'kernel': 'sigmoid'}",0.4912858249419055,0.5094887683965917,0.5003872966692486,0.00910147172734313,6
637.2053573131561,285.27777075767517,271.3200908899307,10.535052418708801,0.19182496720710063,"{0: 1, 1: 1}",0.07174815096277165,sigmoid,"{'C': 0.19182496720710063, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.07174815096277165, 'kernel': 'sigmoid'}",0.22618125484120838,0.25484120836560803,0.2405112316034082,0.014329976762199825,10
584.0441143512726,234.48179268836975,260.7139985561371,22.39983558654785,0.6216531604882809,"{0: 1, 1: 1}",0.05319450186421158,sigmoid,"{'C': 0.6216531604882809, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.05319450186421158, 'kernel': 'sigmoid'}",0.23489542989930287,0.26355538342370255,0.24922540666150272,0.01432997676219984,8
668.6241034269333,127.35228288173676,531.4156047105789,76.3771504163742,0.3012291401980419,"{0: 1, 1: 5}",0.04998609717152555,sigmoid,"{'C': 0.3012291401980419, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04998609717152555, 'kernel': 'sigmoid'}",0.593144848954299,0.617157242447715,0.605151045701007,0.012006196746707998,3
823.5953192710876,222.86568403244019,1187.7547216415405,571.6195850372314,0.05666566321361543,"{0: 1, 1: 5}",0.0556069984217036,sigmoid,"{'C': 0.05666566321361543, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.0556069984217036, 'kernel': 'sigmoid'}",0.5970178156467855,0.6159953524399691,0.6065065840433772,0.009488768396591796,2
956.3991039991379,140.60240709781647,1789.3553041219711,29.48793137073517,0.7951759613930136,"{0: 1, 1: 5}",0.04824619912671628,sigmoid,"{'C': 0.7951759613930136, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04824619912671628, 'kernel': 'sigmoid'}",0.5892718822618126,0.616576297443842,0.6029240898528273,0.013652207591014709,4
