,precision,recall,f1-score,support
0,0.7914223091049108,0.7436268507180229,0.766780497603811,17966.0
1,0.2119760479041916,0.26029411764705884,0.23366336633663365,4760.0
accuracy,0.6423919739505413,0.6423919739505413,0.6423919739505413,0.6423919739505413
macro avg,0.5016991785045513,0.5019604841825409,0.5002219319702224,22726.0
weighted avg,0.6700562876618313,0.6423919739505413,0.6551181925421299,22726.0
