mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
31551.291044950485,43.57604622840881,38613.26406288147,9.732585668563843,0.3845401188473625,"{0: 1, 1: 1}",5,0.0831993941811405,poly,"{'C': 0.3845401188473625, 'class_weight': {0: 1, 1: 1}, 'degree': 5, 'gamma': 0.0831993941811405, 'kernel': 'poly'}",0.4313362157710521,0.4264264264264264,0.4288813210987392,0.0024548946723128295,4
1507.2132102251053,104.16591560840607,807.4981744289398,18.600518703460693,0.6086584841970366,"{0: 1, 1: 5}",4,0.025599452033620268,poly,"{'C': 0.6086584841970366, 'class_weight': {0: 1, 1: 5}, 'degree': 4, 'gamma': 0.025599452033620268, 'kernel': 'poly'}",0.5300393841747225,0.5058495081095453,0.5179444461421339,0.012094938032588598,1
970.8717101812363,1.9408425092697144,423.89106249809265,3.0125069618225098,0.06808361216819946,"{0: 1, 1: 1}",5,0.012058449429580245,poly,"{'C': 0.06808361216819946, 'class_weight': {0: 1, 1: 1}, 'degree': 5, 'gamma': 0.012058449429580245, 'kernel': 'poly'}",0.0007732456988208005,0.0011605415860735009,0.0009668936424471507,0.0001936479436263502,10
1062.1599036455154,1.0391157865524292,723.6611754894257,6.533514499664307,0.9799098521619943,"{0: 1, 1: 3}",4,0.010077876584101433,poly,"{'C': 0.9799098521619943, 'class_weight': {0: 1, 1: 3}, 'degree': 4, 'gamma': 0.010077876584101433, 'kernel': 'poly'}",0.21106005387418794,0.1978446195914428,0.20445233673281538,0.0066077171413725655,8
72083.38722729683,6.1917877197265625,338.284405708313,3.3594632148742676,1.0022115592912175,"{0: 1, 1: 1}",4,0.062475643163223786,poly,"{'C': 1.0022115592912175, 'class_weight': {0: 1, 1: 1}, 'degree': 4, 'gamma': 0.062475643163223786, 'kernel': 'poly'}",0.432012261878695,0.4194690265486726,0.4257406442136838,0.00627161766501122,5
71365.55121743679,178.8519572019577,486.4103180170059,58.078267216682434,0.4419450186421158,"{0: 1, 1: 1}",5,0.07118528947223794,poly,"{'C': 0.4419450186421158, 'class_weight': {0: 1, 1: 1}, 'degree': 5, 'gamma': 0.07118528947223794, 'kernel': 'poly'}",0.4253288078065337,0.41411010154997324,0.41971945467825345,0.005609353128280231,6
14861.537295341492,13002.522364854813,13802.840884327888,13019.025864481926,0.14949386065204184,"{0: 1, 1: 5}",4,0.01906064345328208,poly,"{'C': 0.14949386065204184, 'class_weight': {0: 1, 1: 5}, 'degree': 4, 'gamma': 0.01906064345328208, 'kernel': 'poly'}",0.42240456653585445,0.40563935550222835,0.41402196101904143,0.008382605516813052,7
39083.923057317734,9.563522100448608,2373.6489256620407,16.289657711982727,0.6283860093330873,"{0: 1, 1: 5}",3,0.014645041271999773,poly,"{'C': 0.6283860093330873, 'class_weight': {0: 1, 1: 5}, 'degree': 3, 'gamma': 0.014645041271999773, 'kernel': 'poly'}",0.5082584406120962,0.4947527985074627,0.5015056195597795,0.006752821052316782,2
2760.268040537834,16.17496931552887,413.6435657739639,7.877155423164368,0.6175448519014384,"{0: 1, 1: 1}",3,0.01650515929852795,poly,"{'C': 0.6175448519014384, 'class_weight': {0: 1, 1: 1}, 'degree': 3, 'gamma': 0.01650515929852795, 'kernel': 'poly'}",0.14705882352941177,0.1436347673397717,0.14534679543459172,0.0017120280948200312,9
2264.3222897052765,115.84521675109863,196.14468038082123,1.599220633506775,0.9588855372533333,"{0: 1, 1: 3}",4,0.04854165025399162,poly,"{'C': 0.9588855372533333, 'class_weight': {0: 1, 1: 3}, 'degree': 4, 'gamma': 0.04854165025399162, 'kernel': 'poly'}",0.4556117507801571,0.4562197092084007,0.4559157299942789,0.0003039792141218134,3
