vectorization,kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 1}",0.9324452209361578,0.002150537634408602,1.0,0.004291845493562232,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 1}",0.9324452209361578,0.002150537634408602,1.0,0.004291845493562232,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 3}",0.9492611196039892,0.3193548387096774,0.8227146814404432,0.4601084430673896,0.947860054347826,0.26737967914438504,0.7518796992481203,0.39447731755424065
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 3}",0.9492611196039892,0.3193548387096774,0.8227146814404432,0.4601084430673896,0.947860054347826,0.26737967914438504,0.7518796992481203,0.39447731755424065
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 3}",0.9492611196039892,0.3193548387096774,0.8227146814404432,0.4601084430673896,0.947860054347826,0.26737967914438504,0.7518796992481203,0.39447731755424065
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 5}",0.9563223411225158,0.5494623655913978,0.7384393063583815,0.6300863131935882,0.9504076086956522,0.42513368983957217,0.673728813559322,0.521311475409836
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 5}",0.9563223411225158,0.5494623655913978,0.7384393063583815,0.6300863131935882,0.9504076086956522,0.42513368983957217,0.673728813559322,0.521311475409836
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 5}",0.9563223411225158,0.5494623655913978,0.7384393063583815,0.6300863131935882,0.9504076086956522,0.42513368983957217,0.673728813559322,0.521311475409836
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,1.0,0.1,"{0: 1, 1: 1}",0.9325908131324161,0.004301075268817204,1.0,0.008565310492505352,0.9368206521739131,0.0053475935828877,1.0,0.010638297872340425
tfidf,sigmoid,X,1.0,0.1,"{0: 1, 1: 1}",0.9325908131324161,0.004301075268817204,1.0,0.008565310492505352,0.9368206521739131,0.0053475935828877,1.0,0.010638297872340425
tfidf,sigmoid,X,1.0,0.1,"{0: 1, 1: 1}",0.9325908131324161,0.004301075268817204,1.0,0.008565310492505352,0.9368206521739131,0.0053475935828877,1.0,0.010638297872340425
tfidf,sigmoid,X,1.0,1.0,"{0: 1, 1: 1}",0.9567591177112906,0.38924731182795697,0.9329896907216495,0.5493171471927163,0.9526154891304348,0.3074866310160428,0.8518518518518519,0.45186640471512773
tfidf,sigmoid,X,1.0,1.0,"{0: 1, 1: 1}",0.9567591177112906,0.38924731182795697,0.9329896907216495,0.5493171471927163,0.9526154891304348,0.3074866310160428,0.8518518518518519,0.45186640471512773
tfidf,sigmoid,X,1.0,1.0,"{0: 1, 1: 1}",0.9567591177112906,0.38924731182795697,0.9329896907216495,0.5493171471927163,0.9526154891304348,0.3074866310160428,0.8518518518518519,0.45186640471512773
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,1.0,0.1,"{0: 1, 1: 3}",0.9528281284123171,0.3602150537634409,0.8634020618556701,0.5083459787556904,0.9483695652173914,0.2700534759358289,0.7651515151515151,0.39920948616600793
tfidf,sigmoid,X,1.0,0.1,"{0: 1, 1: 3}",0.9528281284123171,0.3602150537634409,0.8634020618556701,0.5083459787556904,0.9483695652173914,0.2700534759358289,0.7651515151515151,0.39920948616600793
tfidf,sigmoid,X,1.0,0.1,"{0: 1, 1: 3}",0.9528281284123171,0.3602150537634409,0.8634020618556701,0.5083459787556904,0.9483695652173914,0.2700534759358289,0.7651515151515151,0.39920948616600793
tfidf,sigmoid,X,1.0,1.0,"{0: 1, 1: 3}",0.9622188250709762,0.7268817204301076,0.718384697130712,0.722608230892571,0.9475203804347826,0.5347593582887701,0.5970149253731343,0.5641748942172073
tfidf,sigmoid,X,1.0,1.0,"{0: 1, 1: 3}",0.9622188250709762,0.7268817204301076,0.718384697130712,0.722608230892571,0.9475203804347826,0.5347593582887701,0.5970149253731343,0.5641748942172073
tfidf,sigmoid,X,1.0,1.0,"{0: 1, 1: 3}",0.9622188250709762,0.7268817204301076,0.718384697130712,0.722608230892571,0.9475203804347826,0.5347593582887701,0.5970149253731343,0.5641748942172073
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,1.0,0.1,"{0: 1, 1: 5}",0.9619276406784596,0.6043010752688172,0.7838214783821479,0.6824529447480266,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,sigmoid,X,1.0,0.1,"{0: 1, 1: 5}",0.9619276406784596,0.6043010752688172,0.7838214783821479,0.6824529447480266,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,sigmoid,X,1.0,0.1,"{0: 1, 1: 5}",0.9619276406784596,0.6043010752688172,0.7838214783821479,0.6824529447480266,0.9512567934782609,0.42513368983957217,0.6883116883116883,0.5256198347107437
tfidf,sigmoid,X,1.0,1.0,"{0: 1, 1: 5}",0.9499162844871515,0.8333333333333334,0.5925076452599388,0.6925826630920464,0.9317255434782609,0.6390374331550802,0.4723320158102767,0.5431818181818182
tfidf,sigmoid,X,1.0,1.0,"{0: 1, 1: 5}",0.9499162844871515,0.8333333333333334,0.5925076452599388,0.6925826630920464,0.9317255434782609,0.6390374331550802,0.4723320158102767,0.5431818181818182
tfidf,sigmoid,X,1.0,1.0,"{0: 1, 1: 5}",0.9499162844871515,0.8333333333333334,0.5925076452599388,0.6925826630920464,0.9317255434782609,0.6390374331550802,0.4723320158102767,0.5431818181818182
