vectorization,kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
w2v,linear,X,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,linear,X,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,linear,X,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,linear,X,0.01,0.1,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,linear,X,0.01,0.1,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,linear,X,0.01,0.1,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,linear,X,0.01,1.0,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,linear,X,0.01,1.0,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,linear,X,0.01,1.0,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,linear,X,0.01,0.01,"{0: 1, 1: 3}",0.9369158878504673,0.4948132780082988,0.5414301929625426,0.5170731707317074,0.9405351833498513,0.46866485013623976,0.5103857566765578,0.48863636363636365
w2v,linear,X,0.01,0.01,"{0: 1, 1: 3}",0.9369158878504673,0.4948132780082988,0.5414301929625426,0.5170731707317074,0.9405351833498513,0.46866485013623976,0.5103857566765578,0.48863636363636365
w2v,linear,X,0.01,0.01,"{0: 1, 1: 3}",0.9369158878504673,0.4948132780082988,0.5414301929625426,0.5170731707317074,0.9405351833498513,0.46866485013623976,0.5103857566765578,0.48863636363636365
w2v,linear,X,0.01,0.1,"{0: 1, 1: 3}",0.9369158878504673,0.4948132780082988,0.5414301929625426,0.5170731707317074,0.9405351833498513,0.46866485013623976,0.5103857566765578,0.48863636363636365
