vectorization,kernel,degree,C,gamma,random_state,class_weight,train_precision_0,train_recall_0,train_f1_0,train_support_0,train_precision_1,train_recall_1,train_f1_1,train_support_1,train_accuracy,train_recall,train_precision,train_f1,test_precision_0,test_recall_0,test_f1_0,test_support_0,test_precision_1,test_recall_1,test_f1_1,test_support_1,test_accuracy,test_recall,test_precision,test_f1
tfidf,poly,3,1,1,42,"{0: 1, 1: 1}",0.9876891435287204,0.9976554384923579,0.9926472759486195,33695,0.9910673903211217,0.9543771777003485,0.9723763035278457,9184,0.9883859231791786,0.9543771777003485,0.9910673903211217,0.9723763035278457,0.8032658099994389,0.9900408050349263,0.8869268897149939,14459,0.7414721723518851,0.10538402653738199,0.18453976764968724,3919,0.8013929698552618,0.10538402653738199,0.7414721723518851,0.18453976764968724
tfidf,poly,4,1,1,42,"{0: 1, 1: 1}",0.9935954193967298,0.9991096601869713,0.996344910250529,33695,0.9966655551850617,0.9763719512195121,0.9864143886474891,9184,0.9942396044683878,0.9763719512195121,0.9966655551850617,0.9864143886474891,0.7941241318487487,0.9964036240403901,0.8838379190822367,14459,0.7796610169491526,0.0469507527430467,0.08856799037304453,3919,0.7939384046142126,0.0469507527430467,0.7796610169491526,0.08856799037304453
tfidf,poly,3,1,1,42,"{0: 1, 1: 3}",0.9996718083360683,0.9943908591779196,0.9970243408915075,33695,0.9798120059816279,0.9988022648083623,0.9892160034508788,9184,0.995335712120152,0.9988022648083623,0.9798120059816279,0.9892160034508788,0.8141827616027674,0.9766927173386818,0.8880643944157968,14459,0.6737657308809293,0.17759632559326358,0.28109854604200324,3919,0.8062901295026662,0.17759632559326358,0.6737657308809293,0.28109854604200324
tfidf,poly,4,1,1,42,"{0: 1, 1: 3}",0.9998512524543345,0.9974476925359845,0.9986480262669182,33695,0.9907177549919051,0.9994555749128919,0.9950674833324299,9184,0.9978777490146692,0.9994555749128919,0.9907177549919051,0.9950674833324299,0.7992396712696371,0.9887267445881458,0.8839423730909541,14459,0.6680244399185336,0.08369482010717019,0.14875283446712018,3919,0.7957340298182609,0.08369482010717019,0.6680244399185336,0.14875283446712018
