vectorization,kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
w2v,rbf,X,0.1,1.0,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,rbf,X,0.1,1.0,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,rbf,X,0.1,1.0,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.938898329085245,0.42531120331950206,0.5702364394993046,0.4872251931075461,0.9441691443673604,0.4196185286103542,0.5519713261648745,0.47678018575851394
w2v,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.938898329085245,0.42531120331950206,0.5702364394993046,0.4872251931075461,0.9441691443673604,0.4196185286103542,0.5519713261648745,0.47678018575851394
w2v,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.938898329085245,0.42531120331950206,0.5702364394993046,0.4872251931075461,0.9441691443673604,0.4196185286103542,0.5519713261648745,0.47678018575851394
w2v,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9433588218634947,0.508298755186722,0.6004901960784313,0.5505617977528089,0.9466468450611166,0.5040871934604905,0.5674846625766872,0.533910533910534
w2v,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9433588218634947,0.508298755186722,0.6004901960784313,0.5505617977528089,0.9466468450611166,0.5040871934604905,0.5674846625766872,0.533910533910534
w2v,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9433588218634947,0.508298755186722,0.6004901960784313,0.5505617977528089,0.9466468450611166,0.5040871934604905,0.5674846625766872,0.533910533910534
w2v,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9376239025771737,0.11825726141078838,0.7862068965517242,0.20559062218214608,0.9400396432111001,0.05994550408719346,0.55,0.1081081081081081
w2v,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9376239025771737,0.11825726141078838,0.7862068965517242,0.20559062218214608,0.9400396432111001,0.05994550408719346,0.55,0.1081081081081081
w2v,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9376239025771737,0.11825726141078838,0.7862068965517242,0.20559062218214608,0.9400396432111001,0.05994550408719346,0.55,0.1081081081081081
w2v,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.938898329085245,0.42531120331950206,0.5702364394993046,0.4872251931075461,0.9441691443673604,0.4196185286103542,0.5519713261648745,0.47678018575851394
