vectorization,kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
tfidf,rbf,X,0.01,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9403799956322341,0.12580645161290321,0.9512195121951219,0.2222222222222222,0.9386888586956522,0.040106951871657755,0.8823529411764706,0.07672634271099743
tfidf,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9403799956322341,0.12580645161290321,0.9512195121951219,0.2222222222222222,0.9386888586956522,0.040106951871657755,0.8823529411764706,0.07672634271099743
tfidf,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9403799956322341,0.12580645161290321,0.9512195121951219,0.2222222222222222,0.9386888586956522,0.040106951871657755,0.8823529411764706,0.07672634271099743
tfidf,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9403799956322341,0.12580645161290321,0.9512195121951219,0.2222222222222222,0.9386888586956522,0.040106951871657755,0.8823529411764706,0.07672634271099743
tfidf,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9403799956322341,0.12580645161290321,0.9512195121951219,0.2222222222222222,0.9386888586956522,0.040106951871657755,0.8823529411764706,0.07672634271099743
tfidf,rbf,X,0.1,1.0,"{0: 1, 1: 3}",0.9403799956322341,0.12580645161290321,0.9512195121951219,0.2222222222222222,0.9386888586956522,0.040106951871657755,0.8823529411764706,0.07672634271099743
tfidf,rbf,X,1.0,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,1.0,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,1.0,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,rbf,X,1.0,0.1,"{0: 1, 1: 1}",0.9367401907257771,0.06559139784946237,1.0,0.1231079717457114,0.9390285326086957,0.0427807486631016,0.9411764705882353,0.08184143222506395
tfidf,rbf,X,1.0,0.1,"{0: 1, 1: 1}",0.9367401907257771,0.06559139784946237,1.0,0.1231079717457114,0.9390285326086957,0.0427807486631016,0.9411764705882353,0.08184143222506395
tfidf,rbf,X,1.0,0.1,"{0: 1, 1: 1}",0.9367401907257771,0.06559139784946237,1.0,0.1231079717457114,0.9390285326086957,0.0427807486631016,0.9411764705882353,0.08184143222506395
tfidf,rbf,X,1.0,1.0,"{0: 1, 1: 1}",0.9783795588556453,0.6806451612903226,1.0,0.8099808061420346,0.9515964673913043,0.25935828877005346,0.9238095238095239,0.4050104384133612
tfidf,rbf,X,1.0,1.0,"{0: 1, 1: 1}",0.9783795588556453,0.6806451612903226,1.0,0.8099808061420346,0.9515964673913043,0.25935828877005346,0.9238095238095239,0.4050104384133612
