mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
312.45249581336975,16.258049726486206,190.74939239025116,13.401993870735168,0.3845401188473625,"{0: 1, 1: 1}",0.028343478986616377,sigmoid,"{'C': 0.3845401188473625, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.028343478986616377, 'kernel': 'sigmoid'}",0.16382649109217662,0.18280402788536018,0.17331525948876841,0.009488768396591782,10
322.79818511009216,75.44750690460205,200.33386385440826,21.956101775169373,0.7896910002727693,"{0: 1, 1: 1}",0.025601864044243652,sigmoid,"{'C': 0.7896910002727693, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.025601864044243652, 'kernel': 'sigmoid'}",0.1967467079783114,0.2132068164213788,0.2049767621998451,0.008230054221533695,9
587.0967938899994,72.53205871582031,908.0922696590424,728.2545189857483,0.16599452033620266,"{0: 1, 1: 5}",0.05592488919658672,sigmoid,"{'C': 0.16599452033620266, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.05592488919658672, 'kernel': 'sigmoid'}",0.6405886909372579,0.6055383423702556,0.6230635166537568,0.017525174283501144,3
1601.9745250940323,740.8733686208725,1011.1827187538147,660.803986787796,0.34370861113902185,"{0: 1, 1: 5}",0.012058449429580245,sigmoid,"{'C': 0.34370861113902185, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.012058449429580245, 'kernel': 'sigmoid'}",0.7347017815646786,0.7339271882261813,0.7343144848954299,0.0003872966692486379,1
398.97345435619354,37.56198275089264,1549.2131947278976,15.46022617816925,0.9799098521619943,"{0: 1, 1: 3}",0.031233911067827615,sigmoid,"{'C': 0.9799098521619943, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.031233911067827615, 'kernel': 'sigmoid'}",0.4678543764523625,0.48295894655305965,0.47540666150271105,0.007552285050348578,6
261.09694623947144,46.03321599960327,815.3926624059677,644.8605095148087,0.19182496720710063,"{0: 1, 1: 1}",0.07174815096277165,sigmoid,"{'C': 0.19182496720710063, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.07174815096277165, 'kernel': 'sigmoid'}",0.21766072811773818,0.20100697134004647,0.20933384972889232,0.008326878388845854,8
915.0443818569183,686.9046456813812,804.8680022954941,663.9462634325027,0.6216531604882809,"{0: 1, 1: 1}",0.05319450186421158,sigmoid,"{'C': 0.6216531604882809, 'class_weight': {0: 1, 1: 1}, 'gamma': 0.05319450186421158, 'kernel': 'sigmoid'}",0.23663826491092177,0.21630518977536795,0.22647172734314486,0.010166537567776912,7
293.71760976314545,20.11281907558441,159.57056427001953,9.488911151885986,0.3012291401980419,"{0: 1, 1: 5}",0.04998609717152555,sigmoid,"{'C': 0.3012291401980419, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04998609717152555, 'kernel': 'sigmoid'}",0.6427188226181255,0.6032145623547638,0.6229666924864447,0.019752130131680867,4
380.04392671585083,37.48485612869263,829.5498533248901,686.9952609539032,0.05666566321361543,"{0: 1, 1: 5}",0.0556069984217036,sigmoid,"{'C': 0.05666566321361543, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.0556069984217036, 'kernel': 'sigmoid'}",0.6640201394268009,0.6278079008520526,0.6459140201394268,0.018106119287374156,2
241.70372557640076,10.2698233127594,114.85275399684906,8.41616404056549,0.7951759613930136,"{0: 1, 1: 5}",0.04824619912671628,sigmoid,"{'C': 0.7951759613930136, 'class_weight': {0: 1, 1: 5}, 'gamma': 0.04824619912671628, 'kernel': 'sigmoid'}",0.5788148721920992,0.5989542989930287,0.588884585592564,0.010069713400464753,5
